params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.0345709999999997,100,0.006704173658353585,0.0008261359053636245,-0.03426470588235294,0.07230769230769231,0.016681406885734943
"{""discount_factor"": 0.1}",0.9786440000000027,100,0.015930683704841055,0.0040569943979865235,-0.005,0.1625,0.02899562862014139
"{""discount_factor"": 0.2}",0.9712560000000039,100,0.01628197011159173,0.0013610143011657258,-0.009877450980392156,0.1625,0.03195861715001831
"{""discount_factor"": 0.3}",1.0122649999999993,100,0.016763078394668996,0.004810714285714287,-0.029875000000000002,0.1625,0.03233546550375794
"{""discount_factor"": 0.4}",0.956783999999999,100,0.012124483748080951,0.0033403925619834717,-0.08791666666666666,0.1625,0.028615938812086412
"{""discount_factor"": 0.5}",0.9636530000000008,100,0.019249578864279023,0.003205311916822181,-0.0036137931034482752,0.1625,0.03722287810775335
"{""discount_factor"": 0.6}",0.8209540000000004,100,0.047684497744614605,0.04657236842105263,-0.20400000000000001,0.1625,0.06552198977513393
"{""discount_factor"": 0.7}",0.8710389999999961,100,0.0556929152322871,0.057812499999999996,-0.33666666666666667,0.1625,0.07364048800460841
"{""discount_factor"": 0.8}",0.8266950000000008,100,0.04316833783956832,0.04657236842105263,-0.20400000000000001,0.1625,0.0713404946583378
"{""discount_factor"": 0.9}",0.9030769999999961,100,0.0006132721526839178,0.120625,-0.5025,0.1625,0.22041464711868317
